id,address,City,state,zip5,zip_3,name,year,BusinessType,latitude,longitude,founding_date,address_raw,matched,full,ZipCode3,PlaceName,StateName,AddressNumber
1,2125 Stark Hollow Road,Mountain View,CO,82939,829,BUEHLER FOOD,2019.0,Food,39.77568,-105.056127,2014-08-04,2125 Stark Hollow Road Mountain View CO 82939,0,0.0,829,Mountain View,CO,2125
2,1909 Freshour Circle,Mountain View,CO,82939,829,THRIFTWAY FOOD,,Services,39.775686,-105.056127,2018-11-01,1909 Freshour Circle Mountain View CO 82939,0,0.0,829,View,CO,1909
3,3413 Don Jackson Lane,Mountain View,CO,82939,829,STARSHIP RECORDS,2019.0,Food,39.775692,-105.056127,2011-01-13,3413 Don Jackson Lane Mountain View CO 82939,0,0.0,829,Mountain View,CO,3413
4,3860 Junior Avenue,Mountain View,CO,82939,829,DUN RITE MAINTENANCE,2019.0,Services,39.775698,-105.056127,2016-01-19,3860 Junior Avenue Mountain View CO 82939,0,0.0,829,Mountain View,CO,3860
5,,Los Angeles,CA,78205,782,BUENA VISTA REALTY SERVICE,2018.0,Food,29.425,-98.493889,2012-12-09, Los Angeles CA 78205,0,0.0,782,Los Angeles,CA,
6,1164 Locust Court,Los Angeles,CA,90017,900,"10,000 AUTO PARTS",2017.0,Services,34.052236,-118.243683,2010-01-20,1164 Locust Court Los Angeles CA 90017,0,0.0,900,Los Angeles,CA,1164
7,299 Feathers Hooves Drive,Los Angeles,CA,90017,900,AVANT GARDE INTERIOR DESIGNS,2016.0,Food,34.052235,-118.243683,2013-11-09,299 Feathers Hooves Drive Los Angeles CA 90017,0,0.0,900,Los Angeles,CA,299
8,2554 Jones Avenue,Los Angeles,CA,90017,900,ISALY'S,2015.0,Services,34.052234,-118.243683,2014-12-31,2554 Jones Avenue Los Angeles LA 90017,0,0.0,900,Los Angeles,LA,2554
9,2000 Orchard Street,Los Angeles,CA,90017,900,ABC MARKETS,2019.0,Food,34.052233,-118.243683,2013-07-15,2000 Orchard Street Los Angeles CA 90017,0,0.0,900,Los Angeles,CA,2000
10,4791 Cimmaron Road,Los Angeles,CA,90017,900,COFFEY'S MARKET,2019.0,Services,34.052232,-118.243686,2010-11-09,4791 Cimmaron Road Los Angeles CA 90017,0,0.0,900,Los Angeles,CA,4791
11,3898 Karen Lane,Los Angeles,CA,90017,900,SKY HIGH FINANCIAL ADVICE,2019.0,Food,34.052231,-118.243686,2018-05-13,3898 Karen Lane Los Angeles CA 90017,0,0.0,900,Los Angeles,CA,3898
12,3139 Marion Drive,Los Angeles,CA,90017,900,PLANET PIZZA,2019.0,Services,34.05223,-118.243686,2015-02-07,3139 Marion Drive Los Angeles CA 90017,0,0.0,900,Los Angeles,CA,3139
13,1489 Drummond Street,Providence,RI,12908,129,NULL,2019.0,Food,41.824,-71.4128,2019-01-31,1489 Drummond Street Providence RI 12908,0,0.0,129,Providence,RI,1489
14,4827 Diamond Cove,Providence,RI,2908,29,NETCOM BUSINESS SERVICES,2019.0,Services,41.824,-71.4128,2019-08-30,4827 Diamond Cove Providence RI 2908,0,0.0,290,Providence,RI,4827
15,3489 Smith Road,Providence,RI,2909,29,HSE OF DENMARK,2019.0,Food,41.824,-71.4128,2018-09-10,3489 Smith Road Providence RI 2909,0,0.0,290,Providence,RI,3489
16,873 Gladwell Street,Providence,RI,2910,29,WILLIAMS BROS.,2019.0,Services,41.824,-71.4128,2013-12-24,873 Gladwell Street Providence RI 2910,0,0.0,291,Providence,RI,873
17,925 George Avenue,Providence,RI,2911,29,CENTURY HOUSE,2019.0,Food,41.825,-71.4125,2013-02-16,925 George Avenue Providence RI 2911,0,0.0,291,Providence,RI,925
18,1391 Elk Creek Road,Providence,RI,2912,29,GAMMA GRAYS,2019.0,Services,41.825,-71.4125,2017-01-01,1391 Elk Creek Road Providence RI 2912,0,0.0,291,Providence,RI,1391
19,993 Granville Lane,Providence,RI,2913,29,EXPRESS MERCHANT SERVICE,2019.0,Food,41.825,-71.4125,2014-06-21,993 Granville Lane Providence RI 2913,0,0.0,291,Providence,RI,993
20,3860 Mcwhorter Road,Providence,RI,2914,29,STEINBERG'S,2019.0,Services,41.825,-71.4125,2010-09-12,3860 Mcwhorter Road Providence RI 2914,0,0.0,291,Providence,RI,3860
